Datetime,temperature,WindSpeed,Humidity,Visibility,Pressure
19/03/2022 20:24:41,15°C,26  Km/h,59%,10000m,1020.0m
19/03/2022 20:25:46,15°C,26  Km/h,59%,10000m,1020.0m
19/03/2022 20:26:48,15°C,26  Km/h,59%,10000m,1020.0m
19/03/2022 20:27:52,15°C,26  Km/h,59%,10000m,1020.0m
19/03/2022 20:28:54,15°C,26  Km/h,59%,10000m,1020.0m
19/03/2022 20:30:00,15°C,26  Km/h,59%,10000m,1020.0m
19/03/2022 20:31:02,15°C,26  Km/h,59%,10000m,1020.0m
19/03/2022 20:32:05,15°C,26  Km/h,59%,10000m,1020.0m
19/03/2022 20:33:07,14°C,30  Km/h,63%,10000m,1020.0m
19/03/2022 20:34:10,14°C,30  Km/h,63%,10000m,1020.0m
